ZIP,BKCLASS,REPDTE,DEPDOM,ASSET,STNAME,EQ,NAME,CITY,ADDRESS,ENDEFYMD,CERT,ESTYMD,LIAB,ID
2110,SM,20080331,33581503,147472027,MASSACHUSETTS,11392082.0,STATE STREET BANK&TRUST CO,BOSTON,225 FRANKLIN ST.,99991231,14,17920101,136079945,14_20080331
36830,SM,20080331,538522,724502,ALABAMA,58397.0,AUBURNBANK,AUBURN,100 N. GAY ST.,99991231,35,19070103,666105,35_20080331
36732,NM,20080331,192065,221166,ALABAMA,22063.0,ROBERTSON BANKING CO,DEMOPOLIS,216 N. WALNUT AVE.,99991231,39,18700101,199103,39_20080331
36867,NM,20080331,125613,179566,ALABAMA,22927.0,PHENIX-GIRARD BANK,PHENIX CITY,801 13TH ST.,99991231,41,19040504,156639,41_20080331
35055,NM,20080331,211897,253231,ALABAMA,17670.0,MERCHANTS BANK OF ALABAMA,CULLMAN,"900 2ND AVE, SW",20220105,46,19070101,235561,46_20080331
35565,NM,20080331,296432,367336,ALABAMA,40270.0,TRADERS&FARMERS BANK,HALEYVILLE,819 20TH ST,20200701,47,19060106,327066,47_20080331
36401,NM,20080331,38847,43989,ALABAMA,3235.0,BANK OF EVERGREEN,EVERGREEN,146 W. FRONT ST.,99991231,49,19320901,40754,49_20080331
35582,NM,20080331,83034,103058,ALABAMA,7850.0,COMMUNITY SPIRIT BANK,RED BAY,200 4TH AVE. SW,99991231,50,19080317,95208,50_20080331
35592,NM,20080331,161880,196100,ALABAMA,20436.0,BANK OF VERNON,VERNON,44825 HWY. 17,99991231,51,19111111,175664,51_20080331
35594,NM,20080331,105458,209086,ALABAMA,32977.0,CITIZENS BANK OF WINFIELD,WINFIELD,108-110 E. 1ST AVE.,99991231,52,19200522,176109,52_20080331
35952,NM,20080331,193016,232995,ALABAMA,26864.0,EXCHANGE BANK OF ALABAMA,ALTOONA,SIXTH &BLOUNT ST.,99991231,54,19090310,206131,54_20080331
36502,NM,20080331,344954,483258,ALABAMA,41487.0,UNITED BANK,ATMORE,200 E. NASHVILLE AVE.,99991231,58,19040104,441771,58_20080331
36340,NM,20080331,122463,147058,ALABAMA,23867.0,CITIZENS BANK,GENEVA,515 COMMERCE ST.,20130101,59,19010101,123191,59_20080331
36750,NM,20080331,54950,69969,ALABAMA,12604.0,PEACHTREE BANK,MAPLESVILLE,9411 AL HWY. 22,20140228,68,19190919,57365,68_20080331
36425,NM,20080331,56658,64763,ALABAMA,7834.0,PEOPLES EXC BK MONROE CNTY,BEATRICE,1112 MAIN ST.,99991231,70,19070823,56929,70_20080331
35040,SM,20080331,140529,165700,ALABAMA,19875.0,CENTRAL STATE BANK,CALERA,11025 HWY 25,99991231,72,19160205,145825,72_20080331
36303,NM,20080331,161608,233311,ALABAMA,32576.0,BANKSOUTH,DOTHAN,3251 ROSS CLARK CIRCLE,99991231,77,19280101,200735,77_20080331
71671,SM,20080331,106227,141470,ARKANSAS,16846.0,WARREN BANK&TRUST CO,WARREN,201 S. MAIN ST.,99991231,81,19011231,124624,81_20080331
71744,NM,20080331,133577,154577,ARKANSAS,18313.0,CALHOUN COUNTY BANK,HAMPTON,200 MAIN ST.,99991231,88,19071008,136264,88_20080331
72703,NM,20080331,442632,549211,ARKANSAS,65513.0,SIGNATURE BANK OF ARKANSAS,FAYETTEVILLE,"3878 N. CROSSOVER RD, # 20",99991231,89,19330818,483698,89_20080331
71655,NM,20080331,140863,155731,ARKANSAS,13417.0,COMMERCIAL BANK&TRUST CO,MONTICELLO,212 W. GAINES ST.,99991231,90,19130101,142314,90_20080331
72947,SM,20080331,120909,136133,ARKANSAS,14456.0,ALLIED BANK,MULBERRY,311 MAIN ST.,20160923,91,19020304,121677,91_20080331
71661,NM,20080331,192682,218669,ARKANSAS,20761.0,DELTA TRUST&BANK,PARKDALE,1853 HWY. 165 S.,20141025,92,19100201,197908,92_20080331
71763,NM,20080331,43825,54296,ARKANSAS,4070.0,RIVERSIDE BANK,SPARKMAN,COMMERCE &MAIN ST.,99991231,93,19160101,50226,93_20080331
