BKCLASS,EQR,REPDTE,DEPDOM,ASSET,STNAME,EQ,NAME,CITY,ENDEFYMD,CERT,DEPR,ESTYMD,LIAB,ID
SM,8.420501251683104,20201231,157691000,311181000,MASSACHUSETTS,26203000.0,STATE STREET BANK&TRUST CO,BOSTON,99991231,14,79.2002082389349,17920101,284978000,14_20201231
SM,10.841237182382363,20201231,843841,956496,ALABAMA,103696.0,AUBURNBANK,AUBURN,99991231,35,88.22211488600057,19070103,852800,35_20201231
NM,9.46651739081525,20201231,335681,373358,ALABAMA,35344.0,ROBERTSON BANKING CO,DEMOPOLIS,99991231,39,89.90861318091483,18700101,338014,39_20201231
NM,15.853309954394005,20201231,191479,234399,ALABAMA,37160.0,PHENIX-GIRARD BANK,PHENIX CITY,99991231,41,81.68934167807883,19040504,197239,41_20201231
NM,9.412392327609666,20201231,334722,371149,ALABAMA,34934.0,MERCHANTS BANK OF ALABAMA,CULLMAN,20220105,46,90.18534335266968,19070101,336216,46_20201231
NM,13.187085851066934,20201231,59366,68514,ALABAMA,9035.0,BANK OF EVERGREEN,EVERGREEN,99991231,49,86.64798435356278,19320901,59479,49_20201231
NM,10.375746714456392,20201231,145559,167400,ALABAMA,17369.0,COMMUNITY SPIRIT BANK,RED BAY,99991231,50,86.95280764635604,19080317,150031,50_20201231
NM,13.310795713966526,20201231,177376,205878,ALABAMA,27404.0,BANK OF VERNON,VERNON,99991231,51,86.15587872429302,19111111,178474,51_20201231
NM,22.159116965397548,20201231,173421,283477,ALABAMA,62816.0,CITIZENS BANK OF WINFIELD,WINFIELD,99991231,52,61.176391735484714,19200522,220661,52_20201231
NM,13.593940699260534,20201231,285779,334296,ALABAMA,45444.0,EXCHANGE BANK OF ALABAMA,ALTOONA,99991231,54,85.48681408093427,19090310,288852,54_20201231
NM,8.498024325333592,20201231,875740,972073,ALABAMA,82607.0,UNITED BANK,ATMORE,99991231,58,90.08994180478214,19040104,889466,58_20201231
NM,13.406574954723723,20201231,72060,83377,ALABAMA,11178.0,PEOPLES EXCHANGE BANK,MONROEVILLE,99991231,70,86.42671240270099,19070823,72199,70_20201231
SM,10.294561074834034,20201231,358738,404602,ALABAMA,41652.0,CENTRAL STATE BANK,CALERA,99991231,72,88.66441589512657,19160205,362950,72_20201231
NM,19.424640720094104,20201231,156899,195530,ALABAMA,37981.0,BANKSOUTH,DOTHAN,99991231,77,80.24292947373804,19280101,157549,77_20201231
SM,18.127800433904167,20201231,106767,134131,ARKANSAS,24315.0,WARREN BANK&TRUST CO,WARREN,99991231,81,79.59904869120487,19011231,109816,81_20201231
NM,9.600631462444714,20201231,544876,699329,ARKANSAS,67140.0,GENERATIONS BANK,ROGERS,99991231,88,77.9141148157734,19071008,632189,88_20201231
NM,11.061647033711761,20201231,629249,749590,ARKANSAS,82917.0,SIGNATURE BANK OF ARKANSAS,FAYETTEVILLE,99991231,89,83.94575701383424,19330818,666673,89_20201231
SM,9.38445468203137,20201231,217511,240291,ARKANSAS,22550.0,COMMERCIAL BANK&TRUST CO,MONTICELLO,99991231,90,90.51982804183261,19130101,217741,90_20201231
NM,9.273240171539452,20201231,52467,61327,ARKANSAS,5687.0,RIVERSIDE BANK,SPARKMAN,99991231,93,85.55285600143493,19160101,55640,93_20201231
SM,10.721857069189907,20201231,108822,122171,ARKANSAS,13099.0,FIRST STATE BANK OF WARREN,WARREN,99991231,94,89.0735117171833,18900101,109072,94_20201231
NM,12.371009633397472,20201231,125484,157473,ARKANSAS,19481.0,BANK OF DELIGHT,DELIGHT,99991231,99,79.6860414166238,19110616,137992,99_20201231
SM,8.744751603909846,20201231,125327,148855,ARKANSAS,13017.0,BANK OF CAVE CITY,CAVE CITY,99991231,105,84.1940143092271,19060701,135838,105_20201231
NM,12.956221198156681,20201231,37612,43400,ARKANSAS,5623.0,MERCHANTS&PLANTERS BANK,CLARENDON,99991231,107,86.66359447004608,18900101,37777,107_20201231
NM,11.966598259146558,20201231,211214,240227,ARKANSAS,28747.0,HORATIO STATE BANK,HORATIO,99991231,109,87.92267313832333,19050505,211480,109_20201231
NM,15.728507687556814,20201231,21450356,27162596,ARKANSAS,4272271.0,BANK OZK,LITTLE ROCK,99991231,110,78.97019857748501,19030303,22887240,110_20201231
N,13.573866274561224,20201231,6932634,8343334,FLORIDA,1132513.0,SEACOAST NATIONAL BANK,STUART,99991231,131,83.09189108334868,19330101,7210717,131_20201231
NM,10.904332654841523,20201231,276877,312949,GEORGIA,34125.0,CENTURY BANK&TRUST,MILLEDGEVILLE,99991231,147,88.47352124467565,18980101,278824,147_20201231
NM,10.610082098994454,20201231,274804,315351,GEORGIA,33459.0,BANK OF MADISON,MADISON,99991231,148,87.14226369981387,18900101,281892,148_20201231
NM,14.52599268649821,20201231,109015,127709,GEORGIA,18551.0,BANK OF HAZLEHURST,HAZLEHURST,99991231,149,85.36203399916998,19060101,109158,149_20201231
NM,9.156596658317047,20201231,197325,217974,GEORGIA,19959.0,BANK OF ALAPAHA,ALAPAHA,99991231,155,90.5268518263646,19050325,198015,155_20201231
NM,12.523388076419456,20201231,275933,316935,GEORGIA,39691.0,EXCHANGE BANK,MILLEDGEVILLE,99991231,160,87.06296243709278,19030601,277244,160_20201231
N,7.87646117440269,20201231,295639,336801,GEORGIA,26528.0,FIRST NB OF GRIFFIN,GRIFFIN,99991231,169,87.77853984994107,19330512,310273,169_20201231
NM,9.864144361226748,20201231,99949,111221,GEORGIA,10971.0,PEOPLES BANK OF GEORGIA,TALBOTTON,99991231,170,89.86522329416208,18910101,100250,170_20201231
NM,8.92363438717275,20201231,1753795,1931825,GEORGIA,172389.0,UNITED BANK,ZEBULON,99991231,172,90.7843619375461,19050131,1759436,172_20201231
NM,8.998793570478572,20201231,277547,307519,GEORGIA,27673.0,COMMERCIAL BANK,CRAWFORD,99991231,175,90.2536103460274,19240905,279846,175_20201231
NM,11.848179758436823,20201231,51697,58701,GEORGIA,6955.0,TALBOT STATE BANK,WOODLAND,99991231,178,88.06834636547929,19071125,51746,178_20201231
NM,17.069802512856576,20201231,95746,118033,GEORGIA,20148.0,MERCHANTS&CITIZENS BANK,MCRAE,99991231,183,81.117992425847,19290223,97885,183_20201231
NM,13.475391524380514,20201231,289428,350936,INDIANA,47290.0,ALLIANCE BANK,FRANCESVILLE,99991231,197,82.47315749880319,19300703,303646,197_20201231
NM,12.216324231060407,20201231,198405,227196,INDIANA,27755.0,TRI-COUNTY BANK&TRUST CO,ROACHDALE,99991231,210,87.32768182538425,18921007,199440,210_20201231
SM,11.137656292672501,20201231,342977,421085,IOWA,46899.0,WASHINGTON STATE BANK,WASHINGTON,99991231,214,81.45077597159718,19320418,374186,214_20201231
NM,11.305806451612902,20201231,34331,38750,IOWA,4381.0,MANSON STATE BANK,MANSON,20220514,223,88.59612903225806,19330101,34369,223_20201231
NM,10.356706572196433,20201231,36354,40930,IOWA,4239.0,PEOPLES SAVINGS BANK,CRAWFORDSVILLE,20220912,225,88.81993647691179,19121017,36691,225_20201231
NM,11.226000690982676,20201231,131965,162088,IOWA,18196.0,GUTHRIE COUNTY STATE BANK,PANORA,99991231,226,81.41565075761315,19311017,143892,226_20201231
NM,10.8244572164702,20201231,894166,1108499,IOWA,119989.0,AMERICAN STATE BANK,SIOUX CENTER,99991231,228,80.66457434783433,19130901,988510,228_20201231
NM,10.38518973100133,20201231,204848,244425,IOWA,25384.0,COMMUNITY STATE BANK,SPENCER,99991231,230,83.80812110054208,19140101,219041,230_20201231
SM,7.826429591685957,20201231,189961,223333,IOWA,17479.0,COMMERCIAL SAVINGS BANK,CARROLL,99991231,231,85.05729113028528,19170101,205853,231_20201231
NM,22.599524683474716,20201231,90923,118237,IOWA,26721.0,SOLON STATE BANK,SOLON,99991231,232,76.89894026404595,19320317,91516,232_20201231
NM,27.396130484562693,20201231,74527,103062,IOWA,28235.0,POCAHONTAS STATE BANK,POCAHONTAS,99991231,234,72.31278259688342,19260701,74826,234_20201231
NM,10.302799176264205,20201231,186876,262220,IOWA,27016.0,SECURITY STATE BANK,SUTHERLAND,99991231,235,71.26687514300968,19310101,235204,235_20201231
NM,8.854959609926498,20201231,307829,343525,IOWA,30419.0,RACCOON VALLEY BANK,PERRY,99991231,245,89.60890764864274,19270101,313106,245_20201231
NM,9.72446064755638,20201231,136841,179938,IOWA,17498.0,STATE SAVINGS BANK,WEST DES MOINES,99991231,248,76.04897242383488,18940704,162440,248_20201231
